,precision,recall,f1-score,support
0,1.0,0.9976470588235294,0.9988221436984688,425.0
1,0.9918918918918919,0.9683377308707124,0.9799732977303071,379.0
2,0.9674185463659147,0.9722921914357683,0.9698492462311558,397.0
3,0.9606879606879607,0.9799498746867168,0.9702233250620348,399.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.9799995997364418,0.9795567139541818,0.9797170031804916,1600.0
weighted avg,0.9801916789054945,0.98,0.9800365927282227,1600.0
