,precision,recall,f1-score,support
0,1.0,0.9976470588235294,0.9988221436984688,425.0
1,0.989159891598916,0.9630606860158312,0.9759358288770054,379.0
2,0.9625935162094763,0.9722921914357683,0.9674185463659147,397.0
3,0.9630541871921182,0.9799498746867168,0.9714285714285714,399.0
accuracy,0.97875,0.97875,0.97875,0.97875
macro avg,0.9787018987501277,0.9782374527404615,0.9784012725924901,1600.0
weighted avg,0.978937403463004,0.97875,0.9787776582021891,1600.0
