,precision,recall,f1-score,support
0,1.0,0.9929411764705882,0.9964580873671782,425.0
1,0.994535519125683,0.9604221635883905,0.9771812080536912,379.0
2,0.9695431472081218,0.9622166246851386,0.965865992414665,397.0
3,0.9449760765550239,0.9899749373433584,0.966952264381885,399.0
accuracy,0.976875,0.976875,0.976875,0.976875
macro avg,0.9772636857222072,0.9763887255218688,0.9766143880543549,1600.0
weighted avg,0.9774269035848203,0.976875,0.9769431984127462,1600.0
