,precision,recall,f1-score,support
0,0.9976470588235294,0.9976470588235294,0.9976470588235294,425.0
1,0.9755434782608695,0.9472295514511874,0.9611780455153949,379.0
2,0.9407407407407408,0.9596977329974811,0.9501246882793017,397.0
3,0.9427860696517413,0.949874686716792,0.9463171036204744,399.0
accuracy,0.964375,0.964375,0.964375,0.964375
macro avg,0.9641793368692202,0.9636122574972474,0.9638167240596751,1600.0
weighted avg,0.9646104338287427,0.964375,0.9644165655261168,1600.0
