,precision,recall,f1-score,support
0,1.0,0.9976470588235294,0.9988221436984688,425.0
1,0.9611111111111111,0.9129287598944591,0.9364005412719891,379.0
2,0.811529933481153,0.9219143576826196,0.8632075471698113,397.0
3,0.8684931506849315,0.7944862155388471,0.8298429319371727,399.0
accuracy,0.908125,0.908125,0.908125,0.908125
macro avg,0.910283548819299,0.9067440979848639,0.9070682910193606,1600.0
weighted avg,0.9112295386415105,0.908125,0.9082474639270501,1600.0
