,precision,recall,f1-score,support
0,1.0,1.0,1.0,425.0
1,0.9890710382513661,0.9551451187335093,0.9718120805369127,379.0
2,0.9439024390243902,0.9748110831234257,0.9591078066914498,397.0
3,0.9699248120300752,0.9699248120300752,0.9699248120300752,399.0
accuracy,0.975625,0.975625,0.975625,0.975625
macro avg,0.9757245723264578,0.9749702534717526,0.9752111748146093,1600.0
weighted avg,0.9759919948687191,0.975625,0.9756766111124971,1600.0
