,precision,recall,f1-score,support
0,1.0,0.9976470588235294,0.9988221436984688,425.0
1,0.9946091644204852,0.9736147757255936,0.984,379.0
2,0.972568578553616,0.982367758186398,0.9774436090225563,397.0
3,0.9702970297029703,0.9824561403508771,0.9763387297633873,399.0
accuracy,0.984375,0.984375,0.984375,0.984375
macro avg,0.9843686931692679,0.9840214332715995,0.9841511206211031,1600.0
weighted avg,0.9845094461578967,0.984375,0.9843997981433722,1600.0
