iter	Accuracy	MultiClass
0	0.6610037102	1.186020416
1	0.7326694005	1.03167778
2	0.7769966803	0.9194342846
3	0.7871509471	0.8455048767
4	0.8035539934	0.7811021099
5	0.8101933216	0.7243295544
6	0.817418473	0.6790432197
7	0.8232767038	0.638395964
8	0.8355789885	0.6059000758
9	0.8400702988	0.5755474727
10	0.8498340168	0.5453897286
11	0.8556922476	0.5220369447
12	0.8597930092	0.4975116112
13	0.8719000195	0.4720077562
14	0.8773677016	0.4544209675
15	0.8836164812	0.4357564234
16	0.8927943761	0.4138550711
17	0.8990431556	0.3967718827
18	0.9043155634	0.3806352331
19	0.9166178481	0.3606349704
20	0.923061902	0.3447429602
21	0.9304823277	0.3306915837
22	0.9353641867	0.3161246943
23	0.9408318688	0.3051923572
24	0.9439562585	0.2919346497
25	0.9498144894	0.2791737916
26	0.9550868971	0.2678956744
27	0.9562585433	0.2598193547
28	0.9586018356	0.2482717374
29	0.9632884202	0.2394180844
30	0.9683655536	0.2289355805
31	0.9710993946	0.2212393147
32	0.9728568639	0.2116392711
33	0.976176528	0.2022484902
34	0.9777387229	0.1952287502
35	0.9787150947	0.1900368139
36	0.981058387	0.1827685335
37	0.9818394845	0.1783194312
38	0.983206405	0.1710081503
39	0.985354423	0.163710258
40	0.9876977153	0.1562680188
41	0.9873071666	0.151690986
42	0.9892599102	0.1464510113
43	0.9910173794	0.1417564525
44	0.990236282	0.1384098755
45	0.9921890256	0.1344863087
46	0.9923842999	0.1298632311
47	0.9939464948	0.1245297895
48	0.9943370435	0.1209387539
49	0.9953134153	0.1169037952
50	0.9958992384	0.1120849165
51	0.9966803359	0.108356313
52	0.9968756102	0.1055033427
53	0.997266159	0.1017312103
54	0.9974614333	0.09897436735
55	0.9976567077	0.09641185441
56	0.9986330795	0.09276607953
57	0.9986330795	0.0897264901
58	0.9992189026	0.08750955213
59	0.9992189026	0.08460459811
60	0.9990236282	0.0824716466
61	1	0.08013103355
62	1	0.07825281212
63	1	0.07606279344
64	1	0.07364808579
65	1	0.07151528656
66	1	0.06923093573
67	1	0.06770583001
68	1	0.06556342805
69	1	0.06424220872
70	1	0.06281400485
71	1	0.06168606866
72	1	0.06026980369
73	1	0.05884505207
74	1	0.05734405073
75	1	0.05627573662
76	1	0.05485664329
77	1	0.05358922606
78	1	0.05233535825
79	1	0.05118644211
80	1	0.05009831843
81	1	0.04925661788
82	1	0.0482285301
83	1	0.04704203049
84	1	0.04611198323
85	1	0.04522428217
86	1	0.04426523041
87	1	0.0433083045
88	1	0.04266228629
89	1	0.04188554659
90	1	0.04105209282
91	1	0.04026062489
92	1	0.03940818059
93	1	0.03884605211
94	1	0.0382069259
95	1	0.03759010969
96	1	0.03668150647
97	1	0.03591169468
98	1	0.03531145567
99	1	0.03464893514
100	1	0.03399711858
101	1	0.0332922969
102	1	0.03262341945
103	1	0.03210506609
104	1	0.03165571059
105	1	0.03098935591
106	1	0.0304792438
107	1	0.02987382769
108	1	0.02933996827
109	1	0.02886732715
110	1	0.0284912979
111	1	0.027995734
112	1	0.0276396995
113	1	0.02735417157
114	1	0.0269351718
115	1	0.02650581266
116	1	0.02617609297
117	1	0.02572198154
118	1	0.02535799482
119	1	0.02500466613
120	1	0.02466154634
121	1	0.02421944367
122	1	0.02388397568
123	1	0.02353921308
124	1	0.02318531245
125	1	0.02290282369
126	1	0.02263499914
127	1	0.02231427529
128	1	0.02207200157
129	1	0.02173283197
130	1	0.02144321922
131	1	0.02119926618
132	1	0.02087352048
133	1	0.02063882298
134	1	0.02035068467
135	1	0.02008941253
136	1	0.01978897205
137	1	0.01951665541
138	1	0.01931956579
139	1	0.01903972285
140	1	0.01877156919
141	1	0.0185804895
142	1	0.01833199855
143	1	0.018126596
144	1	0.01790929883
145	1	0.01769188999
146	1	0.01746305741
147	1	0.01723607781
148	1	0.01705334386
149	1	0.01690417687
150	1	0.01670133288
151	1	0.01657095771
152	1	0.01638731267
153	1	0.01615402983
154	1	0.01600843925
155	1	0.01584180696
156	1	0.01566336215
157	1	0.01547428405
158	1	0.01529074302
159	1	0.01511567296
160	1	0.01496738103
161	1	0.0148418622
162	1	0.01470129701
163	1	0.01456215126
164	1	0.0144065469
165	1	0.01425252621
166	1	0.01410575475
167	1	0.01398780282
168	1	0.01385005209
169	1	0.01371854886
170	1	0.01357406142
171	1	0.01345410295
172	1	0.01329664302
173	1	0.01313925322
174	1	0.01303568291
175	1	0.01291015609
176	1	0.01280015528
177	1	0.01267822749
178	1	0.01256082534
179	1	0.01244546012
180	1	0.0123159987
181	1	0.01222243617
182	1	0.01210630556
183	1	0.01197383084
184	1	0.01183828479
185	1	0.01175097094
186	1	0.01163922086
187	1	0.01154064795
188	1	0.01142188999
189	1	0.01132200823
190	1	0.01124095919
191	1	0.0111621664
192	1	0.01109015235
193	1	0.01098254098
194	1	0.01089752736
195	1	0.01081879486
196	1	0.01071162527
197	1	0.01062518662
198	1	0.0105377642
199	1	0.01045902558
200	1	0.01038686331
201	1	0.01030079772
202	1	0.01025198953
203	1	0.0101727689
204	1	0.01008660584
205	1	0.01000603503
206	1	0.00992211384
207	1	0.00984134066
208	1	0.00975212759
209	1	0.009672640777
210	1	0.00960371474
211	1	0.009533933287
212	1	0.009457536513
213	1	0.009379565344
214	1	0.00931744337
215	1	0.009259537034
216	1	0.00920438428
217	1	0.009149679838
218	1	0.009094636855
219	1	0.009015379879
220	1	0.008938493366
221	1	0.008871712617
222	1	0.008805308044
223	1	0.008732905285
224	1	0.008671099835
225	1	0.008603997701
226	1	0.008545226828
227	1	0.008489086297
228	1	0.008432073869
229	1	0.008386860774
230	1	0.008328465114
231	1	0.00828275038
232	1	0.008239934066
233	1	0.008184177923
234	1	0.008117315671
235	1	0.008073887945
236	1	0.008020542666
237	1	0.007963656947
238	1	0.007908630217
239	1	0.00785587491
240	1	0.007798264239
241	1	0.007740415013
242	1	0.007693467612
243	1	0.007634026729
244	1	0.007584943798
245	1	0.007547469352
246	1	0.007493484835
247	1	0.007447179439
248	1	0.007411463858
249	1	0.007357548933
