iter	Passed	Remaining
0	26	6521
1	50	6298
2	74	6167
3	99	6108
4	125	6133
5	150	6102
6	175	6080
7	199	6025
8	224	6021
9	249	5985
10	273	5947
11	297	5897
12	321	5867
13	346	5846
14	371	5814
15	396	5792
16	421	5774
17	445	5736
18	468	5701
19	494	5682
20	519	5662
21	548	5683
22	574	5669
23	599	5641
24	624	5624
25	650	5600
26	674	5574
27	699	5545
28	724	5523
29	748	5488
30	773	5464
31	797	5434
32	822	5411
33	846	5380
34	870	5349
35	895	5325
36	921	5303
37	945	5273
38	971	5253
39	997	5236
40	1023	5217
41	1047	5187
42	1072	5161
43	1096	5135
44	1122	5115
45	1147	5091
46	1172	5066
47	1197	5038
48	1223	5016
49	1249	4999
50	1282	5004
51	1310	4991
52	1335	4962
53	1359	4934
54	1383	4905
55	1408	4878
56	1434	4856
57	1459	4830
58	1483	4801
59	1507	4772
60	1531	4744
61	1558	4725
62	1584	4702
63	1608	4675
64	1633	4650
65	1657	4622
66	1683	4597
67	1708	4572
68	1733	4546
69	1758	4522
70	1783	4496
71	1808	4470
72	1833	4445
73	1858	4421
74	1883	4395
75	1907	4368
76	1932	4342
77	1958	4319
78	1984	4294
79	2010	4271
80	2035	4247
81	2059	4219
82	2084	4193
83	2108	4166
84	2133	4140
85	2157	4114
86	2182	4088
87	2206	4061
88	2230	4035
89	2254	4008
90	2280	3984
91	2305	3959
92	2331	3935
93	2355	3908
94	2380	3884
95	2406	3860
96	2431	3835
97	2455	3809
98	2480	3783
99	2504	3756
100	2529	3731
101	2552	3704
102	2584	3688
103	2608	3661
104	2633	3636
105	2657	3610
106	2682	3584
107	2707	3559
108	2731	3533
109	2756	3508
110	2781	3483
111	2806	3457
112	2830	3432
113	2854	3405
114	2880	3381
115	2905	3356
116	2930	3331
117	2956	3306
118	2980	3281
119	3008	3259
120	3039	3240
121	3064	3214
122	3088	3188
123	3113	3164
124	3138	3138
125	3162	3112
126	3187	3086
127	3211	3061
128	3237	3036
129	3262	3011
130	3286	2985
131	3312	2960
132	3338	2936
133	3361	2910
134	3387	2885
135	3411	2859
136	3436	2834
137	3461	2809
138	3487	2784
139	3510	2758
140	3535	2733
141	3567	2713
142	3592	2688
143	3617	2662
144	3641	2637
145	3666	2611
146	3691	2586
147	3717	2561
148	3741	2536
149	3766	2511
150	3791	2485
151	3816	2460
152	3841	2435
153	3866	2410
154	3890	2384
155	3915	2359
156	3939	2333
157	3964	2308
158	3990	2283
159	4015	2258
160	4039	2233
161	4065	2208
162	4089	2182
163	4113	2156
164	4137	2131
165	4161	2105
166	4186	2080
167	4210	2055
168	4235	2030
169	4259	2004
170	4285	1979
171	4308	1954
172	4335	1929
173	4360	1904
174	4383	1878
175	4408	1853
176	4434	1829
177	4458	1803
178	4483	1778
179	4509	1753
180	4534	1728
181	4558	1703
182	4586	1679
183	4612	1654
184	4637	1629
185	4660	1603
186	4685	1578
187	4709	1553
188	4734	1528
189	4758	1502
190	4782	1477
191	4807	1452
192	4833	1427
193	4858	1402
194	4882	1377
195	4907	1352
196	4933	1327
197	4956	1301
198	4981	1276
199	5007	1251
200	5034	1227
201	5057	1201
202	5082	1176
203	5106	1151
204	5133	1126
205	5156	1101
206	5182	1076
207	5206	1051
208	5231	1026
209	5260	1001
210	5284	976
211	5308	951
212	5334	926
213	5357	901
214	5382	876
215	5406	851
216	5432	826
217	5456	800
218	5481	775
219	5507	750
220	5532	725
221	5555	700
222	5585	676
223	5610	651
224	5636	626
225	5660	601
226	5684	575
227	5708	550
228	5733	525
229	5757	500
230	5782	475
231	5807	450
232	5833	425
233	5857	400
234	5881	375
235	5904	350
236	5929	325
237	5952	300
238	5977	275
239	6003	250
240	6030	225
241	6056	200
242	6080	175
243	6104	150
244	6129	125
245	6152	100
246	6176	75
247	6200	50
248	6226	25
249	6251	0
