iter	Passed	Remaining
0	28	7183
1	56	7007
2	85	7039
3	117	7220
4	146	7200
5	175	7121
6	201	7007
7	226	6857
8	255	6832
9	279	6714
10	304	6618
11	329	6526
12	355	6479
13	380	6410
14	405	6354
15	430	6301
16	455	6246
17	480	6196
18	505	6151
19	531	6110
20	555	6057
21	580	6012
22	603	5954
23	626	5902
24	650	5855
25	674	5808
26	697	5756
27	719	5704
28	742	5658
29	765	5617
30	788	5572
31	812	5536
32	837	5506
33	861	5473
34	884	5431
35	907	5396
36	930	5358
37	954	5324
38	976	5285
39	999	5248
40	1024	5222
41	1048	5192
42	1074	5173
43	1101	5157
44	1123	5119
45	1146	5084
46	1168	5048
47	1192	5017
48	1216	4990
49	1239	4959
50	1263	4928
51	1285	4895
52	1308	4864
53	1331	4831
54	1355	4804
55	1379	4779
56	1404	4756
57	1429	4732
58	1451	4699
59	1476	4674
60	1499	4645
61	1522	4615
62	1545	4587
63	1568	4558
64	1592	4533
65	1616	4506
66	1641	4483
67	1663	4452
68	1686	4423
69	1709	4396
70	1731	4366
71	1754	4336
72	1776	4308
73	1799	4280
74	1822	4251
75	1845	4226
76	1869	4199
77	1892	4172
78	1915	4146
79	1937	4117
80	1962	4093
81	1985	4067
82	2008	4041
83	2032	4016
84	2055	3989
85	2078	3963
86	2101	3937
87	2124	3911
88	2147	3885
89	2170	3858
90	2194	3834
91	2217	3808
92	2240	3782
93	2264	3757
94	2287	3731
95	2310	3706
96	2334	3681
97	2356	3655
98	2380	3630
99	2403	3605
100	2427	3581
101	2451	3556
102	2474	3531
103	2497	3506
104	2520	3480
105	2543	3454
106	2565	3428
107	2589	3404
108	2612	3379
109	2637	3356
110	2663	3334
111	2688	3312
112	2713	3290
113	2738	3266
114	2762	3243
115	2787	3219
116	2810	3194
117	2832	3168
118	2856	3144
119	2878	3118
120	2902	3094
121	2926	3069
122	2949	3045
123	2972	3020
124	2996	2996
125	3020	2972
126	3043	2947
127	3066	2922
128	3088	2897
129	3112	2873
130	3137	2849
131	3161	2826
132	3184	2801
133	3210	2779
134	3233	2754
135	3257	2730
136	3281	2706
137	3303	2681
138	3327	2657
139	3350	2632
140	3373	2608
141	3395	2582
142	3420	2559
143	3444	2535
144	3468	2511
145	3491	2486
146	3514	2462
147	3537	2438
148	3561	2413
149	3584	2389
150	3607	2365
151	3631	2341
152	3654	2317
153	3678	2293
154	3704	2270
155	3728	2246
156	3752	2222
157	3775	2198
158	3800	2175
159	3824	2151
160	3847	2127
161	3871	2102
162	3893	2077
163	3916	2053
164	3940	2029
165	3964	2006
166	3988	1982
167	4012	1958
168	4036	1934
169	4060	1910
170	4084	1887
171	4107	1862
172	4130	1838
173	4155	1814
174	4179	1791
175	4203	1767
176	4227	1743
177	4250	1719
178	4274	1695
179	4297	1671
180	4321	1647
181	4344	1623
182	4368	1599
183	4392	1575
184	4416	1551
185	4439	1527
186	4463	1503
187	4486	1479
188	4510	1455
189	4534	1431
190	4556	1407
191	4579	1383
192	4604	1359
193	4629	1336
194	4651	1312
195	4675	1288
196	4699	1264
197	4721	1240
198	4744	1216
199	4768	1192
200	4791	1168
201	4814	1143
202	4837	1120
203	4861	1096
204	4884	1072
205	4907	1048
206	4929	1024
207	4954	1000
208	4979	976
209	5002	952
210	5025	928
211	5049	905
212	5073	881
213	5095	857
214	5119	833
215	5142	809
216	5166	785
217	5189	761
218	5213	737
219	5237	714
220	5260	690
221	5282	666
222	5306	642
223	5329	618
224	5352	594
225	5376	570
226	5400	547
227	5424	523
228	5448	499
229	5472	475
230	5495	451
231	5517	428
232	5540	404
233	5564	380
234	5587	356
235	5609	332
236	5633	308
237	5656	285
238	5678	261
239	5702	237
240	5724	213
241	5747	190
242	5771	166
243	5793	142
244	5816	118
245	5838	94
246	5862	71
247	5885	47
248	5908	23
249	5930	0
