iter	MultiClass
0	1.172434742
1	1.029359854
2	0.9209920668
3	0.846897128
4	0.7770301826
5	0.7168425777
6	0.6702788487
7	0.6278514304
8	0.5920093551
9	0.5579282072
10	0.5274949171
11	0.5035368713
12	0.4787132194
13	0.4550789944
14	0.4395523903
15	0.4179451152
16	0.3986399591
17	0.3851437212
18	0.3729327715
19	0.3560868533
20	0.3393868656
21	0.3249645372
22	0.3064660756
23	0.2959207319
24	0.2858950687
25	0.2760339131
26	0.2658659824
27	0.2551351214
28	0.24447039
29	0.2339204427
30	0.2233525234
31	0.2178274486
32	0.2116641431
33	0.2073812564
34	0.2000087371
35	0.1931938563
36	0.1854514313
37	0.1806958499
38	0.1749437337
39	0.1685889561
40	0.1628756963
41	0.1580388905
42	0.1528323496
43	0.1491716227
44	0.1442844665
45	0.1393905306
46	0.1339459695
47	0.1284292835
48	0.1244528585
49	0.1206562071
50	0.1159761926
51	0.113203517
52	0.1108255528
53	0.1078251237
54	0.1041743788
55	0.1007988551
56	0.09750448968
57	0.09412898728
58	0.09113916839
59	0.08796592368
60	0.08542545697
61	0.08336282929
62	0.08105604755
63	0.07822584346
64	0.07607306062
65	0.07389582505
66	0.07196700363
67	0.06983005834
68	0.06814125274
69	0.06617428162
70	0.06471324411
71	0.06301555349
72	0.06163477369
73	0.06011178458
74	0.05909843296
75	0.05760647904
76	0.05595419866
77	0.05454595122
78	0.05329153623
79	0.05233190506
80	0.0510031946
81	0.04997812292
82	0.04876388495
83	0.04752710476
84	0.04623197393
85	0.04523239334
86	0.04429609765
87	0.04336581458
88	0.04244926845
89	0.04153819837
90	0.04077583636
91	0.0400764546
92	0.039303901
93	0.03850354413
94	0.03773973596
95	0.03716948705
96	0.03625715036
97	0.03558712031
98	0.0349222644
99	0.03425905303
100	0.03355437703
101	0.0328546786
102	0.03237281754
103	0.03180723285
104	0.03119041219
105	0.03065626632
106	0.03005362185
107	0.02949748303
108	0.02893500776
109	0.02857537897
110	0.02809571509
111	0.02757580471
112	0.02713548028
113	0.02680883211
114	0.02631328562
115	0.02593254196
116	0.02554528508
117	0.02521339017
118	0.02485389038
119	0.02448090326
120	0.0241749576
121	0.02377536479
122	0.02350294773
123	0.02310576336
124	0.02273798241
125	0.0224208307
126	0.02210046411
127	0.02174864799
128	0.02139479938
129	0.02115841466
130	0.0208909003
131	0.02061327734
132	0.02027184918
133	0.01992351705
134	0.01961038218
135	0.01941354374
136	0.0191348437
137	0.01889625579
138	0.01864743114
139	0.01840428808
140	0.01817080231
141	0.01800036779
142	0.01782133267
143	0.01756486677
144	0.01731791705
145	0.01707118335
146	0.01686820039
147	0.01666556918
148	0.0164705173
149	0.01626630842
150	0.01607080056
151	0.01585843919
152	0.01568442938
153	0.01553085939
154	0.01537187288
155	0.01518696324
156	0.01500475602
157	0.01486716728
158	0.01467866051
159	0.01452392586
160	0.01438170605
161	0.01426653107
162	0.01407515092
163	0.01395103933
164	0.01378235389
165	0.01362059617
166	0.0134517248
167	0.01328310923
168	0.01316121009
169	0.01301499278
170	0.01288488952
171	0.01275263815
172	0.01260687149
173	0.01245820213
174	0.01233783423
175	0.01221974149
176	0.01208995372
177	0.01196791896
178	0.01184752473
179	0.01173695195
180	0.0116289156
181	0.01155447334
182	0.01144528389
183	0.01131717567
184	0.01122186078
185	0.01110874148
186	0.01102832225
187	0.01091753
188	0.01083042331
189	0.01073223314
190	0.01064155047
191	0.0105227969
192	0.01043635545
193	0.01034349313
194	0.01025325575
195	0.01017144217
196	0.01007337082
197	0.009985132845
198	0.009905683148
199	0.009828781903
200	0.009775168925
201	0.009703837858
202	0.009625982747
203	0.009564238866
204	0.009471118357
205	0.009386746043
206	0.009309930603
207	0.009249648328
208	0.009195540112
209	0.009113579248
210	0.009057977839
211	0.008981490731
212	0.00890266347
213	0.008829593499
214	0.008756545728
215	0.008688397586
216	0.008615217258
217	0.008555918553
218	0.008485559638
219	0.008426463991
220	0.008359616991
221	0.008297127243
222	0.008232814545
223	0.008175979308
224	0.008118032928
225	0.00805540856
226	0.007994048487
227	0.007940548409
228	0.007880078009
229	0.007832715782
230	0.007771451445
231	0.007712603755
232	0.007653743551
233	0.007592667823
234	0.007539890538
235	0.00749054997
236	0.007438158685
237	0.007379369945
238	0.007317707525
239	0.007261994259
240	0.007218122506
241	0.007173569657
242	0.007120515705
243	0.007069384293
244	0.007028805981
245	0.006981180472
246	0.006934967406
247	0.006884360779
248	0.006844311304
249	0.00679621115
