iter	Accuracy	MultiClass
0	0.6662761179	1.184568476
1	0.7541495802	1.0266284
2	0.7596172623	0.9359210906
3	0.757859793	0.8635872881
4	0.7896895138	0.7875206787
5	0.7967193907	0.7298501454
6	0.8080453037	0.6828995821
7	0.8111696934	0.6434898138
8	0.8191759422	0.6058890435
9	0.8254247217	0.5742399663
10	0.834797891	0.5465659071
11	0.8437805116	0.5189472958
12	0.8633079477	0.4869355472
13	0.8715094708	0.466805962
14	0.8756102324	0.4510671723
15	0.8830306581	0.4309448368
16	0.8968951377	0.4096666722
17	0.9025580941	0.3919537679
18	0.9054872095	0.3771290008
19	0.9099785198	0.3613481399
20	0.9226713533	0.342057433
21	0.9334114431	0.3232973851
22	0.9400507713	0.3088151478
23	0.9421987893	0.2994235299
24	0.9476664714	0.2871392721
25	0.9515719586	0.2748999245
26	0.9574301894	0.2637598212
27	0.9595782074	0.2564725486
28	0.9621167741	0.2474293801
29	0.9646553408	0.2407899716
30	0.9701230228	0.2291902556
31	0.9718804921	0.2234905947
32	0.9728568639	0.2160053292
33	0.9738332357	0.2085788459
34	0.9757859793	0.201164053
35	0.9775434485	0.1946978272
36	0.9793009178	0.1882100356
37	0.9806678383	0.1825490738
38	0.9820347588	0.1769209117
39	0.985940246	0.1689627768
40	0.9878929897	0.1629706889
41	0.9892599102	0.1564901802
42	0.9912126538	0.1506669625
43	0.9916032025	0.1464631443
44	0.9917984769	0.1418558444
45	0.9921890256	0.1374567698
46	0.9925795743	0.1328319517
47	0.9939464948	0.1274815094
48	0.9945323179	0.1228193043
49	0.9949228666	0.1182441195
50	0.9960945128	0.113530938
51	0.9962897872	0.1095547221
52	0.9966803359	0.1063309876
53	0.9968756102	0.1028423947
54	0.997266159	0.09983062914
55	0.997266159	0.09719294359
56	0.997851982	0.09463990913
57	0.997851982	0.09184080612
58	0.9984378051	0.08951024151
59	0.9984378051	0.08685364547
60	0.9990236282	0.08426310813
61	0.9988283538	0.08209614174
62	0.9996094513	0.07974442639
63	0.9998047256	0.07713661151
64	0.9998047256	0.07486865512
65	0.9998047256	0.07285554582
66	0.9998047256	0.07106675924
67	0.9998047256	0.06954959029
68	0.9998047256	0.06745364003
69	0.9998047256	0.06596352056
70	0.9998047256	0.06448135345
71	0.9998047256	0.06343543748
72	0.9998047256	0.06185621456
73	0.9998047256	0.06028216154
74	0.9998047256	0.05859457268
75	0.9998047256	0.0570548821
76	0.9998047256	0.0556579741
