iter	Passed	Remaining
0	24	6069
1	49	6134
2	73	6073
3	97	5991
4	121	5958
5	145	5909
6	171	5962
7	196	5946
8	222	5952
9	247	5930
10	272	5923
11	296	5889
12	321	5866
13	345	5832
14	371	5824
15	396	5794
16	422	5792
17	446	5760
18	470	5725
19	496	5708
20	520	5679
21	545	5648
22	570	5630
23	594	5596
24	618	5562
25	642	5536
26	667	5513
27	692	5491
28	716	5460
29	742	5442
30	768	5431
31	793	5403
32	818	5381
33	844	5363
34	868	5336
35	892	5305
36	916	5277
37	942	5255
38	965	5224
39	990	5201
40	1014	5170
41	1038	5143
42	1063	5120
43	1087	5091
44	1111	5061
45	1136	5039
46	1163	5024
47	1190	5011
48	1216	4988
49	1241	4967
50	1267	4943
51	1290	4915
52	1315	4888
53	1340	4864
54	1363	4835
55	1388	4808
56	1413	4785
57	1439	4763
58	1463	4739
59	1489	4715
60	1513	4689
61	1538	4665
62	1563	4639
63	1586	4612
64	1611	4587
65	1638	4566
66	1661	4538
67	1685	4511
68	1709	4485
69	1734	4461
70	1764	4448
71	1788	4420
72	1811	4392
73	1837	4369
74	1861	4343
75	1887	4321
76	1911	4294
77	1936	4271
78	1961	4246
79	1985	4219
80	2010	4194
81	2035	4169
82	2060	4145
83	2083	4118
84	2107	4091
85	2133	4068
86	2157	4042
87	2185	4022
88	2211	4000
89	2236	3975
90	2261	3952
91	2285	3925
92	2309	3899
93	2333	3873
94	2357	3846
95	2383	3822
96	2406	3796
97	2433	3774
98	2457	3748
99	2483	3725
100	2507	3698
101	2532	3674
102	2556	3648
103	2580	3622
104	2603	3595
105	2628	3570
106	2653	3545
107	2677	3520
108	2702	3495
109	2725	3469
110	2753	3447
111	2783	3430
112	2810	3407
113	2835	3382
114	2860	3357
115	2884	3332
116	2910	3308
117	2934	3282
118	2959	3257
119	2983	3232
120	3010	3209
121	3037	3186
122	3061	3161
123	3085	3135
124	3109	3109
125	3133	3084
126	3159	3059
127	3186	3037
128	3212	3012
129	3236	2987
130	3261	2963
131	3285	2937
132	3309	2911
133	3333	2885
134	3358	2860
135	3382	2835
136	3408	2811
137	3432	2786
138	3458	2761
139	3482	2736
140	3506	2711
141	3531	2686
142	3557	2662
143	3581	2636
144	3606	2611
145	3632	2587
146	3658	2563
147	3681	2537
148	3707	2512
149	3731	2487
150	3758	2464
151	3783	2439
152	3807	2413
153	3832	2389
154	3857	2364
155	3881	2338
156	3905	2313
157	3931	2289
158	3956	2264
159	3981	2239
160	4006	2214
161	4029	2188
162	4055	2164
163	4081	2140
164	4106	2115
165	4130	2089
166	4155	2065
167	4181	2041
168	4207	2016
169	4234	1992
170	4258	1967
171	4282	1942
172	4306	1916
173	4331	1892
174	4356	1867
175	4380	1841
176	4404	1816
177	4429	1791
178	4454	1766
179	4478	1741
180	4503	1716
181	4528	1692
182	4552	1666
183	4577	1641
184	4600	1616
185	4626	1591
186	4651	1567
187	4676	1542
188	4700	1516
189	4724	1491
190	4750	1467
191	4780	1444
192	4805	1419
193	4829	1394
194	4853	1369
195	4878	1344
196	4903	1319
197	4927	1294
198	4952	1269
199	4977	1244
200	5001	1219
201	5026	1194
202	5049	1169
203	5073	1143
204	5098	1119
205	5122	1094
206	5147	1069
207	5171	1044
208	5197	1019
209	5221	994
210	5246	969
211	5270	944
212	5295	919
213	5319	894
214	5344	870
215	5370	845
216	5394	820
217	5419	795
218	5444	770
219	5468	745
220	5492	720
221	5516	695
222	5540	670
223	5564	645
224	5589	621
225	5612	596
226	5636	571
227	5661	546
228	5687	521
229	5713	496
230	5736	471
231	5767	447
232	5793	422
233	5817	397
234	5842	372
235	5868	348
236	5893	323
237	5918	298
238	5941	273
239	5965	248
240	5990	223
241	6015	198
242	6040	173
243	6065	149
244	6089	124
245	6114	99
246	6139	74
247	6164	49
248	6190	24
249	6216	0
