iter	Passed	Remaining
0	25	6303
1	50	6264
2	74	6143
3	100	6158
4	124	6119
5	150	6109
6	175	6076
7	200	6053
8	228	6115
9	262	6304
10	293	6380
11	319	6339
12	345	6307
13	371	6257
14	396	6216
15	421	6171
16	446	6120
17	472	6084
18	495	6028
19	519	5976
20	545	5948
21	569	5898
22	595	5878
23	621	5847
24	645	5813
25	671	5788
26	695	5746
27	721	5717
28	745	5678
29	768	5638
30	793	5605
31	817	5569
32	843	5546
33	867	5511
34	892	5484
35	917	5451
36	942	5424
37	966	5392
38	1006	5447
39	1032	5420
40	1056	5384
41	1081	5355
42	1105	5323
43	1131	5295
44	1156	5267
45	1182	5243
46	1207	5216
47	1239	5214
48	1267	5200
49	1298	5193
50	1325	5172
51	1352	5151
52	1376	5117
53	1400	5084
54	1426	5058
55	1452	5032
56	1476	5000
57	1502	4973
58	1526	4942
59	1551	4912
60	1575	4880
61	1599	4848
62	1623	4819
63	1647	4788
64	1672	4760
65	1697	4732
66	1722	4705
67	1746	4675
68	1771	4646
69	1796	4619
70	1820	4589
71	1846	4564
72	1871	4537
73	1896	4510
74	1919	4479
75	1944	4452
76	1969	4424
77	1993	4395
78	2023	4379
79	2047	4350
80	2072	4323
81	2096	4294
82	2121	4268
83	2145	4239
84	2169	4210
85	2193	4183
86	2219	4158
87	2243	4129
88	2268	4103
89	2292	4075
90	2317	4048
91	2342	4022
92	2367	3997
93	2391	3969
94	2417	3944
95	2443	3920
96	2469	3895
97	2494	3869
98	2519	3842
99	2543	3815
100	2567	3787
101	2591	3760
102	2617	3735
103	2641	3708
104	2666	3682
105	2692	3657
106	2717	3631
107	2743	3607
108	2768	3580
109	2793	3554
110	2817	3528
111	2842	3501
112	2865	3474
113	2891	3449
114	2916	3423
115	2940	3396
116	2966	3371
117	2990	3344
118	3018	3323
119	3044	3297
120	3068	3271
121	3093	3245
122	3118	3219
123	3144	3194
124	3167	3167
125	3192	3142
126	3218	3117
127	3242	3090
128	3266	3063
129	3289	3036
130	3315	3011
131	3339	2985
132	3364	2960
133	3388	2933
134	3414	2908
135	3441	2884
136	3465	2858
137	3489	2832
138	3515	2807
139	3539	2780
140	3564	2755
141	3589	2730
142	3614	2704
143	3637	2677
144	3661	2651
145	3686	2626
146	3710	2600
147	3736	2575
148	3760	2549
149	3786	2524
150	3809	2497
151	3834	2472
152	3859	2446
153	3883	2420
154	3907	2395
155	3932	2369
156	3956	2343
157	3981	2318
158	4009	2294
159	4034	2269
160	4058	2243
161	4082	2217
162	4106	2191
163	4131	2166
164	4156	2141
165	4181	2116
166	4206	2090
167	4231	2065
168	4256	2039
169	4279	2014
170	4306	1989
171	4330	1963
172	4356	1939
173	4382	1914
174	4406	1888
175	4431	1863
176	4462	1840
177	4490	1816
178	4514	1790
179	4539	1765
180	4564	1740
181	4587	1714
182	4612	1688
183	4639	1664
184	4665	1639
185	4690	1613
186	4714	1588
187	4739	1563
188	4765	1538
189	4790	1512
190	4815	1487
191	4840	1462
192	4864	1436
193	4888	1411
194	4912	1385
195	4936	1359
196	4961	1334
197	4984	1309
198	5013	1284
199	5039	1259
200	5063	1234
201	5088	1209
202	5113	1183
203	5138	1158
204	5162	1133
205	5187	1107
206	5212	1082
207	5237	1057
208	5261	1032
209	5286	1006
210	5310	981
211	5334	956
212	5360	931
213	5384	905
214	5408	880
215	5433	855
216	5459	830
217	5484	805
218	5508	779
219	5532	754
220	5557	729
221	5581	703
222	5605	678
223	5630	653
224	5654	628
225	5679	603
226	5702	577
227	5728	552
228	5753	527
229	5777	502
230	5801	477
231	5824	451
232	5850	426
233	5875	401
234	5899	376
235	5924	351
236	5948	326
237	5974	301
238	5999	276
239	6030	251
240	6054	226
241	6079	200
242	6103	175
243	6127	150
244	6152	125
245	6176	100
246	6200	75
247	6226	50
248	6249	25
249	6273	0
